tweets,polarity
 hind baste ,Neutral
question need answer whether people still consider idea india secular nation hindu nation tolerant ,Negative
 age old question ,Positive
use national camp raise awareness towards empower narrow mind politics classy act ,Negative
hey good see sir one year leave game program program pretty excite try industry even though know lot work work still quebec ,Positive
sorry ,Negative
 driver tell political like tire mosquito suck blood remove let mosquito suck blood honestly speak elect right wing government expect heat minority issue would congress government would good would still see corruption religious discrimination time round would see don teach science get approval government get dubious land clear easily name game would not different discrimination would change next ten year see many regardless party power state country level matter power thing likely happen get end story ,Positive
 not fan thing see show third party medium opposition etc even don know evil behind thing thing felt congress point right don know ,Negative
never every reason remain sorry come go decade ,Negative
 troll post evil thing india last year ,Negative
 nota push vote common sense grant good prime minister obviously suck ,Positive
fuck go towards either people young not go successive see stand plain stupid come choose bad bad choice good bad one unless dont know affect many thing happen vote people largely decide power name one party good today take back people pessimistic british rule soviet way socialism congress emergency not day go people give life idiot arm chair pessimist dont know do life get sad put faint heart people unfortunately would kill fail sorry sir loser ,Negative
 vote national election glad happy see course set next year continue perform like vote well ,Positive
 vote really hop would something know big fish especially apart petitioner national herald case haven hear anything concrete still security not wrong corruption especially regard ignore seem mention time time economic haven great either well disappoint ,Positive
pirate party india ,Neutral
 least brain realize gut admit ,Negative
 think congress really party problem india perhaps fault party fundamentally way govern govern system problem ,Positive
 ashamed ,Neutral
yes people country development country fine doesn matter poor die due lack job less evil okay don vote lot people love work don don try make congress look good cause not post also propaganda make congress look like good option not congress bad incapable party dumb candidate ,Negative
 don emotionally invest party good choice still don think truly liberal party national appeal think right track congress delhi well half job do unless state assembly election none even make sense vote election anything state government hold state government accountable negligence incompetence handle recruitment relate death responsible investigation court way people arrest report see reach conclusion government hand death don support party blindly always support issue base ,Positive
congress inept corrupt pure evil shameless bigoted hope come mess nation without much damage ,Negative
trust might foolish don think congress would anything good ,Positive
one major element miss option call right recall electorate get option recall candidate elect sure many seriously push show performance get away feel fix five year tenure ,Positive
vote pick least,Negative
feel good propose rather still good something seriously scam though ,Positive
let put rest may upright citizen many stand election read manifesto read party manifesto attend question ask idiot qed ,Negative
 hour long power cut night inverter drain first time year realize seriously bad congress ,Negative
hey look way whether good bad still growth indian growth get le remove day,Negative
people like real root problem kind forget short memory one year pass think congress good forget year congress loot progress completely think come one move everything happy perfect keep wonder people like thrive fool people like ,Positive
smart ,Positive
 least ,Negative
 need military dictatorship ,Negative
congress power pity always rule wonder do shame shame glorious party corruption clean motivation serve poor generate employment let damn let either convert damnation,Negative
make think mass would make good fuck research maya many people kill way protect murderous bitch course not fuck feel sorry fuck right disown responsibility action brain read little election would least ability say elect squad cabinet ,Positive
 ,Neutral
well one ashamed get choose people rank scale bad bad ,Negative
 happy,Positive
 look shit happen india clear bad congress take aside power long time quite unlikely else happen india make feel congress good ,Negative
sorry little loop enlighten care explain happen ,Negative
nota civic poll ,Neutral
would free corruption would work benefit people ,Positive
hence amateurishness still government people people ,Neutral
scam shit would never ever think witness crime etc fuck ,Negative
different congress sic eloquent everything not able muster courage speak corruption happen something yet medium ,Negative
propaganda think specifically democracy form government work way even way claim make feel good know unless representative constituency margin vote vote not affect outcome vote never affect outcome unless win margin vote not screw anything except perhaps believe institution work favor ,Positive
 wait day ,Neutral
 long people buy money run prevail ,Negative
 screw live shit call india bear third world nation destine die third world nation intention improve india not make selfish see anything self happen cumulative result inaction bear ,Negative
 scam regime fault buck really stop first case malpractice examination way back year district seven late register district ,Positive
get voter card dont think vote politician ,Neutral
also fair lot puerile want vote congress like viable alternative time sad not walk walk ,Positive
 though many time well wish many time would press nota button ,Positive
 actually plan find uninhibited island start country want join edit uninhabited,Positive
 base hope politician feel bad ,Negative
 one think like burden nation rather asset ,Neutral
 don like think early judge current government perhaps low expectation show lot lot let see result action ,Positive
 not fault like shin wrapper think chocolate would taste good caramel instead rich cocoa ,Positive
 vote feel hope elect delhi feel disappoint one doesn speak one doesn shut know vote congress ,Negative
one best india kind india desperately need know think good nation patriotism suck ball admit rationality patriotic rational citizen asset country don feel bad ,Positive
 clear bad congress actually equally bad congress shit slow get thing do ,Negative
people different yes authoritarian not let taint ,Neutral
 feel equally bad ,Negative
nothing wrong look hop perform deed good everyone choose leader mention less evil point rot within people change try change would like see one move forward properly hand tie behind back leader think act perform particular way need right people move forward one person cant make huge difference right thing doesn make action wrong armchair politics well good discussion plan make real difference right convert action say wont enough proper follow up absolutely necessary not new knowledge many people push pull direction meaningful progress make maybe find way make thing right not future look see fresh mind previous generation sorry rant long day not smart man ,Positive
people already try trend guess probably get attention give high chance make policy base twitter ,Positive
let not vocal critic many aspect critic occasion also vocal critic specific thing alliance rarely treat issue like get think like ship wave may occasion able move slow move ship rough sea sometimes wave bad sometimes elect crew happen best could get also happen suck tell nothing matter fact say follow ask net whatever hell start volunteer help even nothing go change not take calm look rough row together ,Positive
point get fake follower team ,Neutral
follower buy wont work ,Positive
 not follow first place root corruption far beneath soil country sometimes feel doesn really matter coalition govern nation corruption prevail watch dog party monitor ,Positive
stop ,Neutral
supporter fuck article scam probably big corruption much big many please hear indian economic growth go hold current ,Positive
 follow,Neutral
yes still alive ,Positive
plan action speak loud word ,Positive
showcase rock next election wave year henceforth change label coke pepsi ,Neutral
 supporter don even follow twitter suppose ,Neutral
 go affect not write letter ,Neutral
occupy wall street level stupidity,Negative
give communism try ,Neutral
 don understand big deal country improve short time office economy strongly increase work infrastructure say important thing people know anti people early tenure congress party supporter ,Positive
yeah sorry read not defend support say would sorry thousand time know ,Negative
 call last year people fickle everybody people would say year people eat propaganda believe kind holy party keep might lose next election everybody would say would revert back next election toss game congress ,Positive
still less see medium today report external far important stuff happen country news channel like time choose show news indication government something good india bad talk scam please know scam go expose committee form congress not anything ally bring like scam not forget congress sell nation dog cost year development ,Positive
 shit happen india logic take problem don know nothing yet conclude everything wrong clear bad congress people evil kid right don know support know never satisfy party government people like ideal government look not exist real world ,Negative
not bad idea actually don know many worth shoot feel good ,Positive
cant anything way anything federalism ,Neutral
kind stupidity twitter mean change society never could take far ,Positive
man first place ,Positive
chut large account follower fake inactive ,Positive
whole thread nowhere see look like want start enjoy ,Positive
nice title buddy ,Positive
 back not crazy fit anger find account banal uninformative sometimes fall two category one either already know information two not interest know information thing learn national day various various edit wow first gold thank much anonymous benefactor ,Negative
 cabinet minister every relate account,Negative
 ,Neutral
satire right tell ,Positive
 day come ,Neutral
not try affect social medium metric think notice ,Positive
foreign press leak forget bring black money back bring back india leaf mid asian tour hind,Negative
work long not young pretty female celebrity education ,Positive
le month supporter disappoint thing dont change fast look congress brazen corruption arrogance multiple time add fact time generation people unite anna remain shameless couple year course correction look change power,Positive
 follower handle brilliant idea cover country solar generate solar power hell ,Positive
follower dummy account make pay call center hire create twitter create follower etc etc news report sometime back share link find even genuine pay army create many follower time sad true ,Positive
 crazy style justice say democracy not india people effervescent right listen india citizen india give image country not india huge tourism potential despite agree scam big thing reality thing india big like say happen government incapable may take lot time address feel not education level every state india ,Negative
rather everyone start issue official statement scam,Neutral
need understand politician patriot indian lift finger would cripple party every politician corrupt ,Negative
thank account follow personal account follow account well ,Positive
scam expose government go since intervention require believe many people congress involve since long time not work instead use social medium demand inquiry ,Positive
party party government help unveil scam committee investigation scam scam go past year wrong let fight least show something substantial inability handle large case work government help resolve incompetence rather baseless think would accurately describe hopeful dream conspiracy theory least fact entire accusation try get political point government use evidence provide turn forge settle outrage apparently never attribute malice adequately stupidity last remember use aphorism many time ,Negative
let follow instead ,Neutral
would achieve nothing except maybe bring one personal satisfaction one extremely skeptical influence tear man tongue not liar tell world fear might say clash king ,Negative
hey disguise actually cross green brigade vote follow twitter ardently none cunning brainwash work ,Positive
hey still recently engage long time girlfriend work project manager web development firm life difficult time overall pretty great ,Positive
real problem don proper performance key performance define scheme also advertise actually help regular folk unless define publicly hogwash ,Positive
 appoint serial actress drop school head education ministry increase tax around increase service tax clean india one particular day last year become clean need clean since plan levy tax everything photo annually nuclear treaty sign previous government year increase foreign investment insurance previous government increase train previous government heavily run loss foreign investment retail previous government clean party member include head party face criminal court arrange billion loan government bank guy provide aircraft campaign try push bill parliament bill oppose year chief minister gujarat full steam ahead national card project previous government heavily politics pakistan several previous government new credit previous government previous government price new government fuel price tax price pump regulate pressurize governor appoint previous government resign transfer whatever indian equivalent siberia see governor month ram still heavily involve scam announce india unstoppable force science leak fact india plastic surgery inter galactic travel land swap bangladesh not ,Negative
communal today well place delhi tense revival economy whenever travel lot money spend globally meet today yesterday guy kill fire ,Negative
good effort sad see copy post make response turn post turn quite straw look pakistan one instance hold month power invite swear look say thing need turn insurance issue also link today say consensus pass insurance bill government not agree retain cap per cent propose per cent insurance bill first introduce government not able build consensus cabinet clear increase limit october parliamentary stand committee finance however cap keep per cent interestingly enough along quite turn actually turn moot first place many point point rebuttal like say quite turn lot list rabble rouse date like aside childish not say naive think process say political stall parliament showboat drama behind scene work go think despite minority strong communist contingent pass odd bill pass similar number bill see spectacular decline log jam parliament even current opposition read much opposition lab maybe many bill don buy rhetoric stall congress choose couple bill political reason rest quietly pass ,Positive
also ,Neutral
random sound argument possible ,Negative
please remember measurable declaration intention something not achievement final goal take time interim measurable count cannot say hereby launch program good world label achievement ,Positive
 bangladesh land border agreement oppose tooth nail opposition hence call achievement would unfair ,Negative
 brief main see focus economic vision backlog road rail power get clear major movement infrastructure turn good sector grind together inflation fiscal make india credible stable decide build factory auto even decide take infra make india bring job month need reliance big domestic corp invest heavily make india wave want build battle defense aircraft significantly good year even don indigenous product yet china still russian long way top make cleanliness part national conversation big invest heavily maintain premise see result first small place build rural road accelerate significantly compare improve standard live rural india time private heavily stress bad debt last decade reason corporate moribund last quarter public need not address effectively also bank growth not keep economic growth constrain future farmer hurt two year rural spend time government need scale back wasteful encourage dangerous cultivation habit like irrigation fail need effective public insurance fast intervention not wait around could not pas key structural like land amendment dismantle act solve food inflation problem permanently spend political capital thing like defend beef ban compulsory yoga defend various earn trust need police judiciary election freedom protection not show indication happen ,Positive
 really chuckle fact many level thread mark controversial auto per vote system really something expect not disappoint ,Positive
 give time prove yes need give year ,Positive
 justify disillusion give time prove faith worry fine not like anything could happen ,Positive
make supporter first,Positive
everywhere ,Neutral
 dont give time dismantle government tomorrow bring back congress solve global warm ,Positive
give time fringe politician try take advantage current position power believe work try best ability obviously cannot fix everything year matter make might not hear everyday news since not market everyday progress guess year rule good rule third front rule back good citizen ,Positive
 don know would still wait till term actually decide whether good not reason behind government term year ,Positive
help hit ball type come india hinduism ,Neutral
shit ,Negative
wrong sub buddy ,Positive
sign ,Neutral
feel top gear india special ,Positive
india replace cricket baseball ,Neutral
 put ball play ,Neutral
 not sure mean reporter plenty pertinent baseball discussion comment section ,Negative
switch seem like logical thing world yet really successfully do yet difference world bounce hit effective strike zone don even get difference wind would seem excel allow softball like run beg question translate quality productive batter recall ever see person able transition two say billion people wrong ,Positive
 bos tell get back work ,Neutral
 see ,Neutral
understand almost indian population hinduism majority rest muslim many nearby muslim seem like pretty statement think suggest make move chapman ,Positive
don ,Neutral
deserve call ,Neutral
nice know man keep good work ,Positive
 bot bleep link thread another place accidentally washington baseball team sub roll india news baseball team check follow please respect rule don vote contact message compose ,Negative
 ,Neutral
enlighten cultural exchange ,Positive
 dont even belong much fun ,Positive
 whiskey really leave field robinson take wheel ,Positive
performance tonight relate must cheeseburger dinner ,Neutral
flair ,Neutral
clear dance not type kill forefather ,Negative
 masjid tod ,Neutral
 indian american follow closely think half story take seriously say india would hindu nation also say world would hindu tell baba recall also famously harper selection dismantle recently retribution look glass people ,Positive
 confusion ,Neutral
holy cow ,Negative
participation india ever baseball page cherish ,Neutral
 rather look like every body qualify people drag every issue like india poverty every time launch satellite ,Neutral
write start wrong note begin qualification not question ulterior motive hide agenda bias not go acceptable ,Negative
 would irani would sport minister win election even get degree rule loud make holy shit india ,Positive
hey hey hey not insult call grade actress smoke hot model actress ,Positive
 expect not criticize nobody qualify criticize ,Neutral
 big fan work main problem execution everything work systematic manner people low lever not good not honest country collect money put pocket many corrupt not delhi system good thing nice way like etc touch thee common people nobody care see happen monsoon session scam scam others people good bad politics country bad corrupt people good people feel proud etc time hate people party associate ,Positive
 talk anything anywhere ,Neutral
 tell good link criticism valid prove useless program nothing raise awareness criticism valid tell witness court perjury etc acceptable criticism valid one fuck eat beef though go highness ,Negative
 extreme every party bell curve memory short number people anti twitter wait tell devout leader commit genocide punjab burn alive example top mind please criticism wont sub believe rhetoric future gandhi personal choice delivery poor people vote like delhi,Negative
typical complex ,Negative
speak mind ,Neutral
 well put last year ,Neutral
 everyone criticize opinion worth pay attention everyone talk criticism ,Positive
 mean say government not sen jean censor kill mean criticize criticism not help scrutiny shall not new mantra please clarify everyone struggle actress winner able stir national debate even stand one ask follower not rude social medium yet intent impression not please don criticize merely criticism ,Negative
stupid stupid ,Negative
much cost criticize verbal write qualification require year expect new clear jiffy priceless dont even try understand road beef not ,Positive
american weird somebody teach throw ball full toss every single time ,Negative
yes qualify ,Positive
kal chor police ,Neutral
people friend list claim pro development nationalist write like good one write open leg even many people like remove people friend list today ,Positive
 course people defend line think vicious nobody would cover somebody link congress year ago nobody call whore prostitute therefore bury another banal tweet don understand much toxic shit sling average person face see sub well score people would probably support time succeed go attack critic lose support ,Negative
danger religion culture law many example need see world finally decide terrible idea textbook good cop bad cop strategy good party none shit fly doesnt ,Positive
supporter never tell development also mean shut criticism time could least abuse backlash get quiet drag plus,Negative
not bias reserve right criticize type government ,Positive
look plight former chief minister current least hear say one letter party president letter make public bad even call inspire congress kind logic way treat criticism case ,Negative
abusive right harm else rational right get bury amid encourage abusive language attention pay actual argument wait people criticise etc without subject abuse logical normal counter fact mean leave kill people shit talk good people ,Positive
another thing don understand whenever celebrity opinion accuse attention seek confidently say celebrity say attention not real view seem like say anything political always attention yet still maybe part discussion like every ,Positive
share ,Neutral
 nation million india big nation world,Neutral
sheet irony people say yet put forward oblivion,Neutral
 read hindi ,Neutral
already come effect suppress log prosecute ,Positive
 question qualification much fact people list hypocritical vest objective criticism people right point not like immune criticism thread think moment ,Positive
 think problem honest criticism simply not exist country give proper receive either always criticism use tool undermine selfish reason much see hostile move rather well mean gesture add power mad medium come rabble rouse either dont give damn care way much not surprise hardly anything ever get do around need serious dose pragmatic rationalism,Negative
 indian citizen ever government right qualification criticise everyone right opinion thank share ,Positive
whether politics entertainment sport industry matter become gimmick many use number huge today even make genuine comment see doubt aspect ignore believe debate day see argument crore people never eradicate difference india try respect view others even ,Positive
yeah lie become education minister india educate people india cannot criticize qualification require criticize give vote ,Neutral
 wonder people go cry hoarse ,Negative
 good story brand bihar sari vote mistake leave link unaltered suggestion subject suggestion code ,Positive
establish politics india severe malnutrition cancer new not red yet hope good optimistic sorry hope say optimistic pray god perform humanitarian humanely responsibly ,Positive
 boy look big picture lot change live small town major city road non existent mainly mud path become bus trap rainy power rampant dad use tell lot experience use tell apply job company bribe peon throw away resume pay extra want place top stack police would never work bribe tell small baby meet accident dad need register case claim insurance police refuse register case bribe pay make call first near booth write name number want dial close booth time allot come booth would call end tell person call time show highway lane road accident rampant along long navigate traffic two let not forget pot hole town everyday simple journey near town away would take hour mainly bad state road long connect lot ,Positive
great read beautifully write really important person like read example improvement authenticity election process technological service economic production social would love see similar post improvement social attitude towards public property etc ,Positive
mention alarmist article write independence mind ,Neutral
thank would give gold break thank ,Positive
thread make feel good nation stand way forward thank ,Positive
 don understand west doesn try good relation india could help much well india rather late sooner still ,Positive
thank nice optimistic article ,Positive
imagine day wait get telephone home make call exchange get call connect would ask tip passport channel fiat ambassador around bank like nothing still case public bank many see day thank congress do populism right shit etc secularism first hell would put money day long bite improve life ,Positive
good attempt read good time deserve proper read hope decent gild order one,Positive
 play devil advocate maybe concentration bad thing happen country constant comparison marathon runner whose practice year make improve agree thin line self loathe self introspection however think criticism may help get good ,Negative
yes improvement pace slow haphazard ,Negative
 request keep topic clean political partisanship please say yet post guilty mention hard mention movement pick steam since thank unsung hero mention man directly responsible ,Negative
wow,Positive
 one question hate many thing hate puny reason not like understand absolutely reason hate ,Negative
 much agree statement entirely different reason democracy especially like india institution like judiciary police etc weak need high alert don criticize may lose track start unnecessary thing constantly need remind majority ask development plank remind every single day yes do work last year not satisfactory way need take rest ,Negative
let small experiment take two new bear start feed food every day year take one monkey put different cage give tasty fresh food take second monkey put cage along first monkey food would complain course co eat good food take back food complain see good actually mixture anguish frustration country get not right criticize make different bear person move livelihood person right say anything silly argument silly come back improve complain don anything india not piece land people make india help way know indian never india foreigner non question india usually beautiful country land tropical himalaya etc tell know indian own jaguar land rover indian own complain rant india fellow co know day stop get complacent next time without complete picture india tell india hum ,Positive
best complain corporation bad road see fix week not next day engineer actually call close ticket ,Positive
mind alarmist article ,Neutral
nice post glad see also get feel right track course india pretty compare rich compare last year last decade good good ,Positive
 india point point today trajectory upward trend never see dispute sub point exactly ,Positive
 speak chinese people course learn mandarin strike develop china sound still mental image slightly good india recent ama sub reinforce feel felt pretty india china read china live thing lot thing even bad india still try process honest ,Positive
like enthusiasm country sadly know not seem reason right seem good large pick become large try oppose don every indian completely ,Positive
glad see read mature insightful post let see change lens thank ,Positive
last post good india believe receive much good attention thread advance thread title start perpetual campaign support local cause need help content especially middle class don complain lot thing lot example long traffic jam eventually due wrongly park truck something best bitch moan move life maybe could call police tell illegal park ruckus sure people would prick don fight quality life outside change perpetual campaign imagine bunch people together hand hand support local cause close heart could simple people waste hour traffic due high frequency road imagine could bombard spam relevant responsible department phone tweet handle contact top guy complain page etc could make department take necessary action yes may amount mob mentality would say put good cause around regularly see mob mentality put wrong think issue block train track highway greedy farmer block highway even high land compensation folk example relax believe local highly effective way people suffer regularly due particular issue team together attempt something plan blue print add campaign manager local cause guy responsible raise awareness people cause lean traffic example one way add people could high impact poster back car poster could ask potential support member central number get detail support cause need catchy people support local cause even think name founder guy market guy draft campaign admire like motivate campaign local cause base infrastructure people join easily know guy business model think non profit organization believe low investment project eventually able fund brand advertise could even fund really excite campaign please spare minute read give feedback please interest create private discus project detail ,Positive
 doubt might manage type think character limit ,Neutral
 friend mine tell india backward look make high speed train cant even produce good train conveniently forget highly highly highly highly highly highly highly cannot stress enough nation resource entire continent perhaps best scientific educational base world support among people world hardly enough food fee zilch zero industrial base talk educational institution scientific laboratory look yes long way come mighty long way ,Positive
yes india bad way bad even decade ago thing stand consumer remember day ask buy stuff not anymore see job do men see taxi pump etc woman work norm not exception celebrate instead upon alternative apart engineer medical fresh law make level money remember kiss scene murder cause moral panic star act movie dont give shit come city improve infrastructure everywhere long way get,Positive
 agree point child bear not matter india matter probability get good education health care grow become competitive adult unfortunately lot child bear year still malnourish illiterate disease afflict unacceptable even absolute number child suffer population increase fold wise could good reason people complain progress not line potential human resource remain untapped waste not skillfully solve still lose obscene talent brain drain mainly government apathy complain not not could do much good importantly poorly still remain unfixed corruption culture still progress compare potential child face frustrate fair side need list area pathetically fail terrible public policy make not base research government primary education system government public health care shamble still malaria typhoid diarrhea many progress painfully across state helplessly power many friend choose emigrate year old make get card career succeed choose stay back show decision stay put bad ,Positive
yeah much problem exposure western world adopt casual disdain year old compare western nation year old also forget two important thing compare china nation like china extent still live democracy big democracy compare communist state ,Positive
good work raja dont agree point good read ,Positive
thread enforce upon request ,Neutral
 think argument resource able lot good politics always shit policy terrible many yes grow could much good not kid bear see ton change many good bad feel though ton thing streamline lot make good easy ,Positive
completely agree one favorite reason great job many seem forget time say prefer people loudly not whine whatever state not enough per year get year not enough agree sit office choice whether read post computer phone people die heat rain cold also feel india much good not enough indian army kashmir come dramatically army men even circumstantial level evidence destroy even get away not enough get india could get place orissa get delhi not enough death response death remind outrage death personally think criticism lack satisfaction directly attribute great indian dissatisfy customer keep push forward indian really give way work bitch tree least next india nation not live happily sure come across long way still much hope whine turn wish people get argument within board room office friend make bone ugliness still present country investor make conscious choice country since know animal progress cage reward next year not try even engage argument make pure selfish reason india story ability buy question india story touch extreme cannot digest progress global foolish accord don try correct plan come loud clear everything rape corruption secularism poverty terrorism name since system love like mom pick phone complaint net not work check see decade back not even reliable love taxi speak yesterday go see family ticket head movie could good love ask advice buy house good rent open space wish not stop time soon choice satisfy people people world view india need right may people bite ,Positive
surprise see mention,Neutral
 tiny princely state major state huge language culture religion result every seer predict doom industry speak illiterate part tell fight read alarmist article pretty funny great famine cull million topic beautifully initial india gandhi really statistically outlier compare nation independence around time ,Positive
 far transition towards capitalism come ,Negative
another kid chime launch first everyone startup foreign launch proud indian campaign even though thing lot bad glad see resonance others well countless ,Positive
 agree like point one thing not inherent corruption level call functionary would least year ahead till pocket instead spend development nation imagine every paisa least majority ever put aside national development spend purpose truly intend develop network road electricity water line not small majority across india enough storage food grain ton rotten rain every year good education education system place not adequate sense doesn invoke creative rational think rote learn put emphasis learn stuff solve question rather understand concept real world degree value skill level much not feel responsible condition one suppose guide uneducated one show way toward progress one choose choose misguide even use selfish insatiable not right compare two nation develop one develop one one history plethora hide behind nice shiny city hopeful right step right time still much potential march ahead patience read ,Positive
 think well political nonpolitical power change effectually new think therefore improvement eventual say though still stick face back viz painfully slow judiciary geopolitical basic infrastructure perhaps one day large scale movement mass solve latter ,Positive
thank need sub news general really toxic young crowd man thing like help ,Positive
let take moment thank bring election end booth ,Neutral
 agree everything stop call unsung hero praise literally every time mention social medium even rule party make not really unsung anymore ,Positive
think especially read couple book india gandhi india unbind also take pride institution like well establish another great scientific achievement along nuclear program wish post concrete point though another great point decade ago think would stand line buy train well tell travel agent almost everybody book upon train book office yesterday barely queue extension post also list concrete improvement like see various aspect india year example per income increase still riddle corruption like lease etc digital possible government register attendance churn excellent become successful doctor ,Positive
 kind disagree measure inflation since year price everything go time use house need man afford decent house apart stuff huge scope improvement ask low middle class would get realistic answer ,Positive
 another child admire perspective trust fact narrative not convince forward movement give society consider year period indian history forward movement even include bad company rule emotion rate forward movement india share world not low liberalization compare right obvious year waste also doubt current productivity indian population stifle albeit noose assume indian identity monolithic think bimodal distribution close reality raj wanton crime mention may occur somewhere nothing like grow sub metro part educate middle class experience none describe city wonderful police could hell even auto nice ask feel happy bihar few booth bite rich sound like people ask happy india turn like congo know country everything become europe paint dark picture princely state line much little theatre british large princely state hold million million inhabitant india aside others even state government administration country quite robust hundred year prophet doom say india would disintegrate credible descendant today claim india go fall apart day operate full india field business know one science art india bunny absolutely wonder produce wonder example power big highway pay electricity bill like present peanut production growth ask feel proud don recall ever think long queue pay power bill major concern doubt either ,Positive
counter lie traitor spread obvious see lot lie misinformation time traitor kick destroy india also ban show would impose get rid cant along let not give power another year ,Positive
butch gujarat always foreign tour cannot hindustan afford secretary state foreign ,Negative
accuse india yet go country nothing dispute make big deal cross border terrorism name every country south asia like work apart pakistan india see world pakistan india size pakistan pakistan go around world try protect not way around india ego far big stature economy cause india engage imperial overreach ,Negative
good india hope pakistan betrayal gulf yemen come back bite as ,Positive
weird think friend grip cult curiosity jain guru not consume allopathic western medicine medicine prove safe effective refer medicine henceforth allopathy unfortunately not uncommon opinion hold india low level education low level medical service thankfully die doesnt much jainism find people religious nonsense india indian produce good not grow many actually somewhat true west food selectively breed purpose extend shelf life food also transport large mean doesnt ripen tree make not good could blanket statement wrong thing change india ask guru disappear horizon question good actually see curvature earth spherical shadow earth cause lunar eclipse another question germ theory another question doubt anything ask would make difference cult clever construct alternate reality lure vulnerable people trap fully crime may even assault continue empire ,Positive
funny terrorism self champion spread terrorism across world dear god guy nut follow blindly ,Negative
pakistan support iran gulf gulf care saudi arabia corrosive ideology do tremendous harm throughout pakistan never friend buy like cheap return money ever want don deny pakistan need aid common sense dictate choose muslim power support support iran power paradigm change not gulf ,Positive
dramatic foreign minister month ago yemen participation pakistan do pressure pakistan completely align gulf not not make political back rest suggest pursue india focus diplomacy political future not true true purely business perspective happen thing ruler care term india pakistan relation whole port business city state pakistan abandon since hurt economically use politics mask real issue port vague contradictory stand pakistan turkey absolute proof arab security libya yemen responsibility none arab statement cute gulf arab always pakistan security big contributor besides protection train previously non existent still india always try undermine pakistani reason believe gulf turn towards india business simply cannot even want ,Positive
 pakistan obey order would kill innocent well worth ,Positive
extremely shit matter like go stadium full pakistani riyadh like pragmatism experience fuck need leader also bring excitement ever go pakistan practically count finger number give powerful khan ,Positive
 feature ,Neutral
well nice fundamentalist one meet fanatical fundamentalist say come across one major wide spectrum even meet eat non food drink alcohol casual sex imagine stuff ask bother like stay quiet general consensus among see million yes although consensus might like say live together rich many different opinion well worship hindu god others don eat garlic easily others ask guru whatever like man really question let know controversial one ask jain guru since long ,Positive
look romantic little love first sight totally ship new ,Positive
 not consume allopathic western medicine medicine prove safe effective refer medicine henceforth allopathy quack term use response rationale people hundred year ago not access additionally medicine not get rid root cause merely condition body fall ill result take medicine one wow ask say result illness not body medicine simply illness keep inside body hence arise accumulation well get idea also one medicine power grow naturally never fall ill don see part jainism universe age not possible calculate time create universe also universe shape like hell heaven physical manifest vantage point term think earth flat disc shape tell beach observe ship view food since doesn eat process buy store ask substance use grow food reply least not live west reign supreme etc indian produce good not grow many good folk vegan could chat last question ,Positive
 lately dig system like music remind message guy whose full uplift ,Negative
 fond sublime attitude chant ,Neutral
jain fellow know well meet college father doctor incredible engineer scientist thinker sound little bite eccentric others say perhaps family influence fundamentalist guru crazy idea ,Positive
 lama medicine buddha mantra chant always make feel good ,Positive
 grand majority western make herb plant purpose use year ago not first document medical system face planet scientifically prove metric shit ton believe sound like think aspirin good aspirin make process willow bark give potential one bad allergic medication damn near impossible allergic willow bark ,Positive
 merlin magic ,Positive
 version article post ,Neutral
one favorite love artist general one particular really speak ,Positive
 would really like see buddhism get hold outside not way however shift emphasis social political often religious one even introduce thing not directly relate buddhism like new conversion focus actively hinduism god custom besides usual take refuge three get strongly involve politics always affect basic philosophical spiritual aspect whatever go wold nice strong religious presence not relate not say need buddhist domination like case like see get point develop home grow indian buddhist tradition one would able become buddhist scholar monk teacher entirely within indian culture need institution logistics literature local instead spread various exist whatever would like see west not sure though even stay clear politics would not pick nationalist ,Positive
one mention particular good album ,Positive
 remember read year ago change like could attribute phenomenon fuel growth christianity india well namely way get caste system wonder statement see critical caste system simply not talk indian medium ,Neutral
